Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_56_985.jpg;0;0;1;0;99.66999;85.58897;0.0002359436;43.19933;3.533528E-07
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_56_994.jpg;0;0;0;0;99.66999;85.58897;0.0002336004;43.19933;1.199922E-06
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_048.jpg;0;0;0;0;99.66999;85.58897;0.0002333621;43.19933;1.213093E-06
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_115.jpg;0;0;0;0;99.66999;85.58897;0.0002329835;43.19933;1.281833E-06
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_182.jpg;0;0;0;0;99.66999;85.58897;0.00023292;43.19933;1.428751E-06
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_248.jpg;0;0;0;0;99.66999;85.58897;0.0002328988;43.19933;1.477722E-06
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_316.jpg;0;0;0;0;99.66999;85.58897;0.0002328988;43.19933;1.477722E-06
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_382.jpg;0;0;0;0;99.66999;85.58897;0.0002328988;43.19933;1.477722E-06
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_448.jpg;0;0;0;0;99.66999;85.58897;0.0002328988;43.19933;1.477722E-06
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_516.jpg;0;0;0;0;99.66999;85.58897;0.00023292;43.19933;1.428751E-06
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_582.jpg;0;0;0;0;99.66999;85.58897;0.0002329835;43.19933;1.281833E-06
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_649.jpg;0;0;0;0;99.66999;85.58897;0.0002330683;43.19933;1.085938E-06
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_715.jpg;0;0;0;0;99.66999;85.58897;0.0002333278;43.19933;1.023796E-06
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_782.jpg;0;0;0;0;99.66999;85.58897;0.0002336852;43.19933;1.004033E-06
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_848.jpg;0;0;0;0;99.66999;85.58897;0.0002341617;43.19933;9.776787E-07
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_915.jpg;0;0;0;0;99.66999;85.58897;0.0002345615;43.19933;8.599748E-07
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_57_982.jpg;0;0.2027004;0;0;99.67034;85.5893;0.01074702;43.19909;6.461665E-07
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_048.jpg;0;0.4006953;0;0;99.67076;85.58971;0.02141851;43.23962;-7.859054E-06
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_115.jpg;0;0.6006411;0;0.03174834;99.67462;85.59333;0.1319185;43.1685;9.721705E-05
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_181.jpg;0;0.8026299;0;0.07516919;99.67995;85.59834;0.2770658;43.27606;-0.0001847441
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_248.jpg;0;1;0;0.1362465;99.68798;85.6059;0.4807639;43.27927;-0.001133438
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_316.jpg;0;1;0;0.1741391;99.70232;85.61933;0.7861434;43.42374;-0.001015739
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_382.jpg;0;1;0;0.231014;99.71651;85.6327;1.0568;43.40939;-0.0006434012
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_449.jpg;0;1;0;0.3008362;99.7375;85.65278;1.332248;43.47229;-0.002459746
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_516.jpg;0;1;0;0.3300356;99.75185;85.66662;1.232246;43.51191;-0.002653689
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_583.jpg;0;1;0;0.4261166;99.769;85.68285;1.123655;43.50951;0.0004435673
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_648.jpg;0;1;0;0.4768258;99.7964;85.70863;1.080566;43.44983;-9.518601E-05
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_716.jpg;0;1;0;0.5265667;99.82028;85.73113;1.116345;43.47851;-0.0009040243
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_783.jpg;0;1;0;0.5923848;99.84656;85.75591;1.18891;43.52853;-0.0004484344
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_849.jpg;0;1;0;0.6408008;99.87524;85.78291;1.262656;43.41056;-0.001063206
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_915.jpg;0;1;0;0.6695977;99.91486;85.82012;1.22098;43.34372;-0.001613145
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_58_982.jpg;0;1;0;0.7321957;99.94714;85.85035;1.186753;43.2866;-0.0001063176
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_048.jpg;0;1;0;0.8074179;99.99448;85.89472;1.21055;43.38527;-0.0009950818
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_116.jpg;0;1;0;0.8410531;100.0326;85.93047;1.227646;43.35371;-0.000562339
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_182.jpg;0;1;0;0.9184596;100.073;85.96832;1.237443;43.3659;-0.001167274
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_249.jpg;0;1;0;0.9682198;100.1298;86.02159;1.223454;43.35611;-0.001051181
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_316.jpg;0;1;0;1.016543;100.1746;86.06354;1.204416;43.36019;-0.0001124562
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_383.jpg;0;1;0;1.063074;100.2218;86.10777;1.218084;43.36016;-0.0009018154
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_448.jpg;0;1;0;1.123552;100.2879;86.16971;1.226014;43.33157;-0.000891864
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_516.jpg;0;1;0;1.166661;100.3398;86.21835;1.226835;43.29339;-0.0005292209
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_582.jpg;0;1;0;1.234179;100.3939;86.26895;1.229316;43.25618;-0.0007108502
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_648.jpg;0;1;0;1.282031;100.4693;86.33936;1.232353;43.22242;-0.0008531171
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_715.jpg;0;1;0;1.329148;100.5283;86.39442;1.236508;43.19917;-0.0008838614
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_781.jpg;0;1;0;1.376237;100.5895;86.45139;1.240379;43.17938;-0.0009063864
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_848.jpg;-0.01660198;1;0;1.438257;100.6738;86.53091;1.250361;43.2812;-0.001509778
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_916.jpg;0;1;0;1.484327;100.7395;86.59248;1.251431;43.27898;-0.0009931222
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_13_59_982.jpg;0;1;0;1.546892;100.8075;86.65595;1.256558;43.26661;-0.000946689
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_00_049.jpg;0;1;0;1.594152;100.9012;86.74346;1.258887;43.2541;-0.0009819166
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_00_116.jpg;0;1;0;1.640543;100.9739;86.81133;1.263654;43.24204;-0.001000492
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_00_182.jpg;1.976124;1;0;1.701123;101.0485;86.88121;1.269351;43.26666;-0.00107351
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_00_249.jpg;-2.080668;1;0;1.747563;101.1514;86.97688;1.272054;43.1894;-0.0005326192
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_00_316.jpg;-6.059227;1;0;1.791868;101.2324;87.04897;1.27078;42.71733;0.001547365
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_00_382.jpg;-10.02989;1;0;1.849429;101.3172;87.12048;1.26548;41.84537;359.9894
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_00_449.jpg;-14.03401;1;0;1.890894;101.4371;87.21265;1.225756;39.99854;359.9062
